name,postscript_name,codepoints,opentype_category,export
uni0727.Init.SYRN,,,,true
uni0727.Medi,,,,true
uni0727.Medi.SYRJ,,,,true
uni0727.Medi.SYRN,,,,true
uni0727.SYRJ,,,,true
uni0727.SYRN,,,,true
uni0728,,0728,,true
uni0728.Alt.SYRJ,,,,true
uni0728.AltNun.SYRJ,uni0728.AltNun,,,true
uni0728.Fina,,,,true
uni0728.Fina.SYRJ,,,,true
uni0728.Fina.SYRN,,,,true
uni0728.FinaAlt.SYRJ,,,,true
uni0728.FinaAltNun.SYRJ,uni0728.FinaAltNun,,,true
uni0728.FinaNun.SYRJ,uni0728.FinaNun,,,true
uni0728.Nun.SYRJ,uni0728.Nun,,,true
uni0728.SYRJ,,,,true
uni0728.SYRN,,,,true
uni0729,,0729,,true
uni0729.Fina,,,,true
uni0729.Fina.SYRJ,,,,true
uni0729.Fina.SYRN,,,,true
uni0729.Init,,,,true
uni0729.Init.SYRJ,,,,true
uni0729.Init.SYRN,,,,true
uni0729.Medi,,,,true
uni0729.Medi.SYRJ,,,,true
uni0729.Medi.SYRN,,,,true
uni0729.SYRJ,,,,true
uni0729.SYRN,,,,true
uni072A,,072A,,true
uni072A.Fina,,,,true
uni072A.Fina.SYRJ,,,,true
uni072A.Fina.SYRN,,,,true
uni072A.FinaQR.SYRJ,,,,true
uni072A.QR.SYRJ,,,,true
uni072A.SYRJ,,,,true
uni072A.SYRN,,,,true
uni072Auni0308.Fina,,,,true
uni072Auni0308.Fina.SYRJ,,,,true
uni072Auni0308.Fina.SYRN,,,,true
uni072Auni0308.FinaQR.SYRJ,,,,true
uni072Auni0308.Isol,,,,true
uni072Auni0308.Isol.SYRJ,,,,true
uni072Auni0308.Isol.SYRN,,,,true
uni072Auni0308.IsolQR.SYRJ,,,,true
uni072B,,072B,,true
uni072B.Fina,,,,true
uni072B.Fina.SYRJ,,,,true
uni072B.Fina.SYRN,,,,true
uni072B.Init,,,,true
uni072B.Init.SYRJ,,,,true
uni072B.Init.SYRN,,,,true
uni072B.InitM.SYRN,,,,true
uni072B.InitN.SYRN,,,,true
uni072B.Medi,,,,true
uni072B.Medi.SYRJ,,,,true
uni072B.Medi.SYRN,,,,true
uni072B.MediM.SYRN,,,,true
uni072B.MediN.SYRN,,,,true
uni072B.SYRJ,,,,true
uni072B.SYRN,,,,true
uni072C,,072C,,true
uni072C.Fina,,,,true
uni072C.Fina.SYRJ,,,,true
uni072C.Fina.SYRN,,,,true
uni072C.MediLiga2.SYRN,,,,true
uni072C.SYRJ,,,,true
uni072C.SYRN,,,,true
uni072D,,072D,,true
uni072D.Fina,,,,true
uni072D.Fina.SYRJ,,,,true
uni072D.Fina.SYRN,,,,true
uni072D.Init,,,,true
uni072D.Init.SYRJ,,,,true
uni072D.Init.SYRN,,,,true
uni072D.Medi,,,,true
uni072D.Medi.SYRJ,,,,true
uni072D.Medi.SYRN,,,,true
uni072D.SYRJ,,,,true
uni072D.SYRN,,,,true
uni072E,,072E,,true
uni072E.Fina,,,,true
uni072E.Fina.SYRJ,,,,true
uni072E.Fina.SYRN,,,,true
uni072E.FinaW.SYRN,,,,true
uni072E.FinaWide,,,,true
uni072E.FinaWide.SYRJ,,,,true
uni072E.FinaWide2,,,,true
uni072E.FinaWide2.SYRJ,,,,true
uni072E.Init,,,,true
uni072E.Init.SYRJ,,,,true
uni072E.Init.SYRN,,,,true
uni072E.InitLong,,,,true
uni072E.InitN.SYRN,,,,true
uni072E.Medi,,,,true
uni072E.Medi.SYRJ,,,,true
uni072E.Medi.SYRN,,,,true
uni072E.MediLong,,,,true
uni072E.MediN.SYRN,,,,true
uni072E.MediW.SYRN,,,,true
uni072E.MediWN.SYRN,,,,true
uni072E.MediWide,,,,true
uni072E.MediWide.SYRJ,,,,true
uni072E.MediWide2,,,,true
uni072E.MediWide2.SYRJ,,,,true
uni072E.SYRJ,,,,true
uni072E.SYRN,,,,true
uni072F,,072F,,true
uni072F.Fina,,,,true
uni072F.Fina.SYRJ,,,,true
uni072F.Fina.SYRN,,,,true
uni072F.FinaQR.SYRJ,,,,true
uni072F.QR.SYRJ,,,,true
uni072F.SYRJ,,,,true
uni072F.SYRN,,,,true
uni0730,,0730,,true
uni0730.SYRJ,,,,true
uni0730.SYRN,,,,true
uni0731,,0731,,true
uni0731.SYRJ,,,,true
uni0731.SYRN,,,,true
uni0732,,0732,,true
uni0732.SYRJ,,,,true
uni0732.SYRN,,,,true
uni0732.above,,,,true
uni0732.above.SYRJ,,,,true
uni0732.above.SYRN,,,,true
uni0732.below,,,,true
uni0732.below.SYRJ,,,,true
uni0732.below.SYRN,,,,true
uni0733,,0733,,true
uni0733.SYRJ,,,,true
uni0733.SYRN,,,,true
uni0734,,0734,,true
uni0734.SYRJ,,,,true
uni0734.SYRN,,,,true
uni0735,,0735,,true
uni0735.SYRJ,,,,true
uni0735.SYRN,,,,true
uni0735.alt.SYRN,,,,true
uni0735.altB.SYRN,,,,true
uni0735.altC.SYRN,,,,true
uni0736,,0736,,true
uni0736.SYRJ,,,,true
uni0736.SYRN,,,,true
uni0737,,0737,,true
uni0737.SYRJ,,,,true
uni0737.SYRN,,,,true
uni0738,,0738,,true
uni0738.SYRJ,,,,true
uni0738.SYRN,,,,true
uni0739,,0739,,true
uni0739.SYRJ,,,,true
uni0739.SYRN,,,,true
uni073A,,073A,,true
uni073A.SYRJ,,,,true
uni073A.SYRN,,,,true
uni073B,,073B,,true
uni073B.SYRJ,,,,true
uni073B.SYRN,,,,true
uni073C,,073C,,true
uni073C.SYRJ,,,,true
uni073C.SYRN,,,,true
uni073D,,073D,,true
uni073D.SYRJ,,,,true
uni073D.SYRN,,,,true
uni073E,,073E,,true
uni073E.SYRJ,,,,true
uni073E.SYRN,,,,true
uni073F,,073F,,true
uni073F.SYRJ,,,,true
uni073F.SYRN,,,,true
uni0740,,0740,,true
uni0740.SYRJ,,,,true
uni0740.SYRN,,,,true
uni0741,,0741,,true
uni0741.SYRJ,,,,true
uni0741.SYRN,,,,true
uni0741.alt.SYRN,,,,true
uni0742,,0742,,true
uni0742.SYRJ,,,,true
uni0742.SYRN,,,,true
uni0742.alt.SYRN,,,,true
uni0743,,0743,,true
uni0743.SYRJ,,,,true
uni0743.SYRN,,,,true
uni0744,,0744,,true
uni0744.SYRJ,,,,true
uni0744.SYRN,,,,true
uni0745,,0745,,true
uni0745.SYRJ,,,,true
uni0745.SYRN,,,,true
uni0746,,0746,,true
uni0746.SYRJ,,,,true
uni0746.SYRN,,,,true
uni0747,,0747,,true
uni0747.SYRJ,,,,true
uni0747.SYRN,,,,true
uni0748,,0748,,true
uni0748.SYRJ,,,,true
uni0748.SYRN,,,,true
uni0749,,0749,,true
uni0749.SYRJ,,,,true
uni0749.SYRN,,,,true
uni074A,,074A,,true
uni074A.SYRJ,,,,true
uni074A.SYRN,,,,true
uni074D,,074D,,true
uni074D.Fina,,,,true
uni074D.Fina.SYRJ,,,,true
uni074D.Fina.SYRN,,,,true
uni074D.SYRJ,,,,true
uni074D.SYRN,,,,true
uni074E,,074E,,true
uni074E.Fina,,,,true
uni074E.Fina.SYRJ,,,,true
uni074E.Fina.SYRN,,,,true
uni074E.Init,,,,true
uni074E.Init.SYRJ,,,,true
uni074E.Init.SYRN,,,,true
uni074E.Medi,,,,true
uni074E.Medi.SYRJ,,,,true
uni074E.Medi.SYRN,,,,true
uni074E.SYRJ,,,,true
uni074E.SYRN,,,,true
uni074F,,074F,,true
uni074F.Fina,,,,true
uni074F.Fina.SYRJ,,,,true
uni074F.Fina.SYRN,,,,true
uni074F.Init,,,,true
uni074F.Init.SYRJ,,,,true
uni074F.Init.SYRN,,,,true
uni074F.InitB,,,,true
uni074F.Medi,,,,true
uni074F.Medi.SYRJ,,,,true
uni074F.Medi.SYRN,,,,true
uni074F.MediB,,,,true
uni074F.SYRJ,,,,true
uni074F.SYRN,,,,true
uni200C,,200C,,true
uni200D,,200D,,true
uni200E,,200E,,true
uni200F,,200F,,true
uni25CC,,25CC,,true
uni2670,,2670,,true
uni2670.SYRJ,,,,true
uni2670.SYRN,,,,true
uni2671,,2671,,true
uni2671.SYRJ,,,,true
uni2671.SYRN,,,,true
